year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,position,streams,spotify date,spins,radio_rank
2020,2020-01-04,1,all i want for christmas is you,mariah carey,0,english,356,0,0,1,2,9806687,2019-12-26,196,501
2020,2020-01-04,2,rockin around the christmas tree,brenda lee,0,english,119,0,0,1,4,8624106,2019-12-26,196,501
2020,2020-01-04,3,jingle bell rock,bobby helms,0,english,185,0,0,1,5,8361420,2019-12-26,196,501
2020,2020-01-04,4,a holly jolly christmas,burl ives,0,english,159,0,0,1,15,6266059,2019-12-26,196,501
2020,2020-01-04,5,circles,post malone,0,english,314,0,0,NA,7,7519188,2019-12-26,7144,2
2020,2020-01-04,6,roxanne,arizona zervas,0,english,355,0,0,NA,3,9691192,2019-12-26,3701,12
2020,2020-01-04,7,its the most wonderful time of the year,andy williams,0,english,182,0,0,NA,8,7373863,2019-12-26,196,501
2020,2020-01-04,8,someone you loved,lewis capaldi,0,english,323,0,0,NA,38,4603582,2019-12-26,5204,6
2020,2020-01-04,9,memories,maroon 5,0,english,442,0,0,NA,49,3968950,2019-12-26,5826,5
2020,2020-01-04,10,good as hell,lizzo,0,english,371,0,0,NA,201,1899349,2019-12-26,7659,1
2020,2020-01-04,11,last christmas,wham,0,english,382,0,0,1,12,9069526,2019-12-26,196,501
2020,2020-01-04,12,feliz navidad,jose feliciano,0,english,232,70,30.17,NA,24,5552799,2019-12-26,196,501
2020,2020-01-04,13,the box,roddy ricch,0,english,540,3,0.56,NA,1,10092329,2019-12-26,196,501
2020,2020-01-04,14,dance monkey,tones and i,0,english,434,0,0,NA,19,5887468,2019-12-26,3509,14
2020,2020-01-04,15,let it snow let it snow let it snow,dean martin,0,english,167,0,0,NA,58,3618671,2019-12-26,196,501
2020,2020-01-04,15,let it snow let it snow let it snow,dean martin,0,english,167,0,0,NA,20,5761121,2019-12-26,196,501
2020,2020-01-04,16,the christmas song,nat king cole,0,english,135,0,0,NA,14,6820259,2019-12-26,196,501
2020,2020-01-04,17,10000 hours,dan and shay,0,english,319,0,0,NA,88,2931086,2019-12-26,240,406
2020,2020-01-04,18,lose you to love me,selena gomez,0,english,359,0,0,NA,56,3655843,2019-12-26,5892,4
2020,2020-01-04,19,ballin,dj mustard,0,english,577,5,0.87,NA,27,5106482,2019-12-26,4063,9
2020,2020-01-04,20,bop,dababy,0,english,708,0,0,NA,11,7029005,2019-12-26,2310,38
2020,2020-01-04,21,sleigh ride,the ronettes,0,english,187,0,0,NA,138,2350802,2019-12-26,196,501
2020,2020-01-04,21,sleigh ride,the ronettes,0,english,187,0,0,NA,116,2496422,2019-12-26,196,501
2020,2020-01-04,21,sleigh ride,the ronettes,0,english,187,0,0,NA,69,3342151,2019-12-26,196,501
2020,2020-01-04,22,rudolph the red-nosed reindeer,gene autry,0,english,196,0,0,1,122,4418047,2019-12-26,196,501
2020,2020-01-04,23,bad guy,billie eilish,0,english,222,0,0,NA,50,3881933,2019-12-26,2333,36
2020,2020-01-04,24,happy holiday the holiday season,andy williams,0,english,224,0,0,1,201,1899349,2019-12-26,196,501
2020,2020-01-04,25,no guidance,chris brown,0,english,612,0,0,NA,79,3183244,2019-12-26,3444,15
2020,2020-01-04,26,senorita,shawn mendes,0,english,357,5,1.4,NA,86,2981245,2019-12-26,2690,23
2020,2020-01-04,27,bandit,juice wrld,0,english,627,0,0,NA,10,7070611,2019-12-26,484,200
2020,2020-01-04,28,its beginning to look a lot like christmas,perry como,0,english,253,0,0,NA,113,2531579,2019-12-26,196,501
2020,2020-01-04,28,its beginning to look a lot like christmas,perry como,0,english,253,0,0,NA,37,4714134,2019-12-26,196,501
2020,2020-01-04,28,its beginning to look a lot like christmas,perry como,0,english,253,0,0,NA,18,5960157,2019-12-26,196,501
2020,2020-01-04,29,christmas baby please come home,darlene love,0,english,143,0,0,1,28,4937313,2019-12-26,196,501
2020,2020-01-04,30,panini,lil nas x,0,english,212,2,0.94,NA,127,2391446,2019-12-26,3905,10
2020,2020-01-04,31,underneath the tree,kelly clarkson,0,english,312,0,0,NA,40,4591039,2019-12-26,196,501
