year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,Position,Streams,spotify date,spins,radio_rank,chartmetric date
2021,2021-01-02,84,adderall,popp hunna,0,english,515,0,0,NA,201,1884623,NA,244,501,NA
2021,2021-01-02,59,afterglow,ed sheeran,0,english,239,0,0,NA,201,1884623,NA,1474,82,2020-12-24
2021,2021-01-02,87,back to the streets,saweetie,0,english,526,0,0,NA,201,1884623,NA,2889,30,2020-12-24
2021,2021-01-02,93,backdoor,lil durk,0,english,546,1,0.18,NA,201,1884623,NA,244,501,NA
2021,2021-01-02,37,bang,ajr,0,english,362,0,0,NA,201,1884623,NA,5593,8,2020-12-24
2021,2021-01-02,57,better together,luke combs,0,english,334,0,0,NA,201,1884623,NA,2834,31,2020-12-24
2021,2021-01-02,71,"big, big plans",chris lane,0,english,424,0,0,NA,201,1884623,NA,3095,24,2020-12-24
2021,2021-01-02,80,champagne night,lady a,0,english,371,9,2.43,NA,201,1884623,NA,3052,25,2020-12-24
2021,2021-01-02,19,christmas baby please come home,darlene love,0,english,143,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,92,damage,her,0,english,291,0,0,NA,201,1884623,NA,1598,75,2020-12-24
2021,2021-01-02,43,deck the halls,nat king cole,0,english,77,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,65,diamonds,sam smith,0,english,513,0,0,NA,201,1884623,NA,3731,16,2020-12-24
2021,2021-01-02,62,favorite time of year,carrie underwood,0,english,305,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,95,golden,harry styles,0,english,210,0,0,NA,201,1884623,NA,2609,35,2020-12-24
2021,2021-01-02,82,good time,niko moon,0,english,371,0,0,NA,201,1884623,NA,2097,55,2020-12-24
2021,2021-01-02,54,hallelujah,carrie underwood,0,english,224,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,18,happy holiday the holiday season,andy williams,0,english,263,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,49,have yourself a merry little christmas,michael buble,0,english,135,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,63,hawai,maluma,1,spanish,397,281,70.78,NA,201,1884623,NA,998,117,2020-12-24
2021,2021-01-02,90,hit different,sza,0,english,519,0,0,NA,201,1884623,NA,1780,67,2020-12-24
2021,2021-01-02,96,hole in the bottle,kelsea ballerini,0,english,296,0,0,NA,201,1884623,NA,2427,43,2020-12-24
2021,2021-01-02,30,i hope,gabby barrett,0,english,471,0,0,NA,201,1884623,NA,6136,7,2020-12-24
2021,2021-01-02,41,kings and queens,ava max,0,english,312,0,0,NA,201,1884623,NA,6491,6,2020-12-24
2021,2021-01-02,47,little saint nick,the beach boys,0,english,239,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,79,love you like i used to,russell dickerson,0,english,301,0,0,NA,201,1884623,NA,2663,32,2020-12-24
2021,2021-01-02,16,rudolph the red-nosed reindeer,gene autry,0,english,196,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,46,santa claus is comin' to town,jackson 5,0,english,230,0,0,1,201,1884623,NA,517,217,2020-12-24
2021,2021-01-02,94,silent night,carrie underwood,0,english,90,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,66,starting over,chris stapleton,0,english,257,0,0,NA,201,1884623,NA,2065,57,2020-12-24
2021,2021-01-02,78,the first noel,gabby barrett,0,english,132,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,22,there's no place like home for the holidays,perry como,0,english,212,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,74,throat baby,brs kash,0,english,803,4,0.5,NA,201,1884623,NA,2046,58,2020-12-24
2021,2021-01-02,32,"you're a mean one, mr. grinch",thurl ravenscroft,0,english,141,0,0,1,201,1884623,NA,244,501,NA
2021,2021-01-02,85,you're mines still,yung bleu,0,english,468,0,0,NA,201,1884623,NA,244,501,NA
2021,2021-01-09,83,aint always the cowboy,jon pardi,0,english,224,0,0,NA,201,1569731,NA,1036,110,2020-12-31
2021,2021-01-09,77,back to the streets,saweetie,0,english,526,0,0,NA,201,1569731,NA,2969,24,2020-12-31
2021,2021-01-09,62,backdoor,lil durk,0,english,546,1,0.18,1,201,1569731,NA,244,501,NA
2021,2021-01-09,11,bang,ajr,0,english,362,0,0,NA,201,1569731,NA,278,411,2020-12-31
2021,2021-01-09,11,bang,ajr,0,english,362,0,0,NA,201,1569731,NA,5609,8,2020-12-31
2021,2021-01-09,76,beers and sunshine,darius rucker,0,english,301,0,0,NA,201,1569731,NA,2392,44,2020-12-31
2021,2021-01-09,54,"big, big plans",chris lane,0,english,424,0,0,NA,201,1569731,NA,2789,28,2020-12-31
2021,2021-01-09,59,bs,jhene aiko,0,english,474,0,0,NA,201,1569731,NA,3919,16,2020-12-31
2021,2021-01-09,52,champagne night,lady a,0,english,371,9,2.43,NA,201,1569731,NA,2924,26,2020-12-31
2021,2021-01-09,78,damage,her,0,english,291,0,0,NA,201,1569731,NA,1690,74,2020-12-31
2021,2021-01-09,93,death ain't easy,lil durk,0,english,454,0,0,1,201,1569731,NA,244,501,NA
2021,2021-01-09,46,diamonds,sam smith,0,english,513,0,0,NA,201,1569731,NA,3931,15,2020-12-31
2021,2021-01-09,91,down to one,luke bryan,0,english,379,0,0,NA,201,1569731,NA,1887,61,2020-12-31
2021,2021-01-09,75,golden,harry styles,0,english,210,0,0,NA,201,1569731,NA,2409,41,2020-12-31
2021,2021-01-09,61,good time,niko moon,0,english,371,0,0,NA,201,1569731,NA,1982,59,2020-12-31
2021,2021-01-09,42,happy anywhere,blake shelton,0,english,241,0,0,NA,201,1569731,NA,2931,25,2020-12-31
2021,2021-01-09,87,happy does,kenny chesney,0,english,303,0,0,NA,201,1569731,NA,2400,43,2020-12-31
2021,2021-01-09,70,hit different,sza,0,english,519,0,0,NA,201,1569731,NA,1751,68,2020-12-31
