"year","date","rank","song","artist","binary","language","total_words","non_e_words","percent","unique","position","streams","spins","radio_rank"
2020,2020-01-04,1,"all i want for christmas is you","mariah carey",0,"english",356,0,0,1,2,9806687,196,501
2020,2020-01-04,2,"rockin around the christmas tree","brenda lee",0,"english",119,0,0,1,4,8624106,196,501
2020,2020-01-04,3,"jingle bell rock","bobby helms",0,"english",185,0,0,1,5,8361420,196,501
2020,2020-01-04,4,"a holly jolly christmas","burl ives",0,"english",159,0,0,1,15,6266059,196,501
2020,2020-01-04,5,"circles","post malone",0,"english",314,0,0,0,7,7519188,7144,2
2020,2020-01-04,6,"roxanne","arizona zervas",0,"english",355,0,0,0,3,9691192,3701,12
2020,2020-01-04,7,"its the most wonderful time of the year","andy williams",0,"english",182,0,0,0,8,7373863,196,501
2020,2020-01-04,8,"someone you loved","lewis capaldi",0,"english",323,0,0,0,38,4603582,5204,6
2020,2020-01-04,9,"memories","maroon 5",0,"english",442,0,0,0,49,3968950,5826,5
2020,2020-01-04,10,"good as hell","lizzo",0,"english",371,0,0,0,201,1899349,7659,1
2020,2020-01-04,11,"last christmas","wham",0,"english",382,0,0,1,12,9069526,196,501
2020,2020-01-04,12,"feliz navidad","jose feliciano",0,"english",232,70,30.17,0,24,5552799,196,501
2020,2020-01-04,13,"the box","roddy ricch",0,"english",540,3,0.56,0,1,10092329,196,501
2020,2020-01-04,14,"dance monkey","tones and i",0,"english",434,0,0,0,19,5887468,3509,14
2020,2020-01-04,15,"let it snow let it snow let it snow","dean martin",0,"english",167,0,0,0,58,3618671,196,501
2020,2020-01-04,16,"the christmas song","nat king cole",0,"english",135,0,0,0,14,6820259,196,501
2020,2020-01-04,17,"10000 hours","dan and shay",0,"english",319,0,0,0,88,2931086,240,406
2020,2020-01-04,18,"lose you to love me","selena gomez",0,"english",359,0,0,0,56,3655843,5892,4
2020,2020-01-04,19,"ballin","dj mustard",0,"english",577,5,0.87,0,27,5106482,4063,9
2020,2020-01-04,20,"bop","dababy",0,"english",708,0,0,0,11,7029005,2310,38
2020,2020-01-04,21,"sleigh ride","the ronettes",0,"english",187,0,0,0,138,2350802,196,501
2020,2020-01-04,22,"rudolph the red-nosed reindeer","gene autry",0,"english",196,0,0,1,122,4418047,196,501
2020,2020-01-04,23,"bad guy","billie eilish",0,"english",222,0,0,0,50,3881933,2333,36
2020,2020-01-04,24,"happy holiday the holiday season","andy williams",0,"english",224,0,0,1,201,1899349,196,501
2020,2020-01-04,25,"no guidance","chris brown",0,"english",612,0,0,0,79,3183244,3444,15
2020,2020-01-04,26,"senorita","shawn mendes",0,"english",357,5,1.4,0,86,2981245,2690,23
2020,2020-01-04,27,"bandit","juice wrld",0,"english",627,0,0,0,10,7070611,484,200
2020,2020-01-04,28,"its beginning to look a lot like christmas","perry como",0,"english",253,0,0,0,113,2531579,196,501
2020,2020-01-04,29,"christmas baby please come home","darlene love",0,"english",143,0,0,1,28,4937313,196,501
2020,2020-01-04,30,"panini","lil nas x",0,"english",212,2,0.94,0,127,2391446,3905,10
2020,2020-01-04,31,"underneath the tree","kelly clarkson",0,"english",312,0,0,0,40,4591039,196,501
2020,2020-01-04,32,"here comes santa claus (right down santa claus lane)","gene autry",0,"english",243,0,0,1,201,1899349,196,501
2020,2020-01-04,33,"hot","young thug",0,"english",572,0,0,0,130,2385086,2223,40
2020,2020-01-04,34,"old town road","lil nas x",0,"english",310,0,0,0,167,2052884,333,294
2020,2020-01-04,35,"truth hurts","lizzo",0,"english",428,0,0,0,64,3411735,4159,8
2020,2020-01-04,36,"run rudolph run","chuck berry",0,"english",208,0,0,0,41,4498397,196,501
2020,2020-01-04,37,"theres no place like home for the holidays","perry como",0,"english",212,0,0,1,201,1899349,196,501
2020,2020-01-04,38,"highest in the room","travis scott",0,"english",360,3,0.83,0,17,5990239,2961,18
2020,2020-01-04,39,"heartless","the weeknd",0,"english",378,0,0,0,194,1924940,3791,11
2020,2020-01-04,40,"blue christmas","elvis presley",0,"english",86,0,0,1,35,4735821,196,501
2020,2020-01-04,41,"everything i wanted","billie eilish",0,"english",305,0,0,0,22,5597652,2045,44
2020,2020-01-04,42,"white christmas","bing crosby",0,"english",108,0,0,0,23,5573038,196,501
2020,2020-01-04,43,"jingle bells","frank sinatra",0,"english",249,0,0,1,157,2161194,196,501
2020,2020-01-04,44,"like its christmas","jonas brothers",0,"english",240,0,0,1,65,3408308,196,501
2020,2020-01-04,45,"baby its cold outside","dean martin",0,"english",342,0,0,1,59,3590800,196,501
2020,2020-01-04,46,"trampoline","shaed",0,"english",218,0,0,0,201,1899349,5019,7
2020,2020-01-04,47,"woah","lil baby",0,"english",664,1,0.15,0,54,3760017,1392,66
2020,2020-01-04,48,"futsal shuffle 2020","lil uzi vert",0,"english",762,2,0.26,0,6,7959941,196,501
2020,2020-01-04,49,"youre a mean one mr grinch","thurl ravenscroft",0,"english",336,0,0,1,118,2482443,196,501
2020,2020-01-04,50,"ransom","lil tecca",0,"english",407,0,0,0,148,2247602,431,225
2020,2020-01-04,51,"falling","trevor daniel",0,"english",328,0,0,0,52,3844121,196,501
2020,2020-01-04,52,"dont start now","dua lipa",0,"english",278,0,0,0,48,3973162,2892,19
2020,2020-01-04,53,"adore you","harry styles",0,"english",303,0,0,0,16,6175364,2119,43
2020,2020-01-04,54,"one man band","old dominion",0,"english",315,0,0,0,201,1899349,2208,41
2020,2020-01-04,55,"hot girl bummer","blackbear",0,"english",513,0,0,0,43,4482839,2449,30
2020,2020-01-04,56,"suicidal","ynw melly",0,"english",442,0,0,0,39,4601276,196,501
2020,2020-01-04,57,"lover","taylor swift",0,"english",284,0,0,0,201,1899349,2432,32
2020,2020-01-04,58,"on chill","wale",0,"english",576,0,0,0,201,1899349,3439,16
2020,2020-01-04,59,"even though im leaving","luke combs",0,"english",340,0,0,0,201,1899349,2703,22
2020,2020-01-04,60,"no idea","don toliver",0,"english",412,0,0,0,46,4319260,196,501
2020,2020-01-04,61,"graveyard","halsey",0,"english",370,0,0,0,161,2114884,2677,24
2020,2020-01-04,62,"my oh my","camila cabello",0,"english",443,0,0,0,36,4714877,388,249
2020,2020-01-04,63,"juicy","doja cat",0,"english",690,0,0,0,196,1920454,2328,37
